id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-02-21 18:03:57,"{""short_code"":""vFKZxQ"",""original_url"":""https://example.com/navy/valley/1""}"
2,2,275,created,2025-11-15 09:43:45,"{""short_code"":""ZpELak"",""original_url"":""https://acme.dev/navy/harvest/2""}"
3,3,130,created,2025-12-20 14:12:39,"{""short_code"":""i009Ud"",""original_url"":""https://acme.dev/quiet/zenith/3""}"
4,4,299,created,2025-07-03 15:44:29,"{""short_code"":""lyrkgh"",""original_url"":""https://opswise.net/opal/signal/4""}"
5,5,121,created,2025-05-29 04:27:58,"{""short_code"":""5uAbXt"",""original_url"":""https://hackstack.io/calm/garden/5""}"
6,6,267,created,2025-04-17 17:42:01,"{""short_code"":""psRR5c"",""original_url"":""https://relay.cloud/tidy/delta/6""}"
7,7,242,created,2026-01-02 22:15:28,"{""short_code"":""UtSEtl"",""original_url"":""https://hackstack.io/quiet/kernel/7""}"
8,8,263,created,2025-09-01 04:49:32,"{""short_code"":""ivrseg"",""original_url"":""https://relay.cloud/ivory/signal/8""}"
9,9,220,created,2025-01-31 17:31:00,"{""short_code"":""9y825z"",""original_url"":""https://seeded.app/rapid/harvest/9""}"
10,10,297,created,2026-01-11 09:18:06,"{""short_code"":""MF9Wfx"",""original_url"":""https://opswise.net/silver/meadow/10""}"
11,11,293,created,2025-04-28 01:22:53,"{""short_code"":""xMssOP"",""original_url"":""https://opswise.net/keen/quartz/11""}"
12,12,226,created,2026-01-09 17:27:37,"{""short_code"":""dgT6md"",""original_url"":""https://hackstack.io/calm/meadow/12""}"
13,13,304,created,2026-01-10 11:43:59,"{""short_code"":""G1gDv6"",""original_url"":""https://seeded.app/tidy/beacon/13""}"
14,14,219,created,2026-01-26 02:25:22,"{""short_code"":""sLuf4m"",""original_url"":""https://opswise.net/silver/journey/14""}"
15,15,158,created,2025-07-10 14:29:07,"{""short_code"":""GA8iNM"",""original_url"":""https://relay.cloud/ember/island/15""}"
16,16,334,created,2025-12-13 02:00:13,"{""short_code"":""BCxfNI"",""original_url"":""https://example.com/proud/orbit/16""}"
17,17,201,created,2026-01-08 14:08:22,"{""short_code"":""kGsMUZ"",""original_url"":""https://seeded.app/proud/trail/17""}"
18,18,138,created,2025-11-14 19:14:27,"{""short_code"":""JSWLff"",""original_url"":""https://example.com/amber/delta/18""}"
19,19,80,created,2025-09-22 14:33:43,"{""short_code"":""aOKEUv"",""original_url"":""https://relay.cloud/clear/island/19""}"
20,20,88,created,2025-12-05 16:02:17,"{""short_code"":""q0ovgz"",""original_url"":""https://hackstack.io/vivid/harvest/20""}"
21,21,326,created,2026-01-27 08:40:47,"{""short_code"":""n0TYXq"",""original_url"":""https://example.com/clear/quartz/21""}"
22,22,188,created,2025-01-13 16:47:41,"{""short_code"":""yEQtjR"",""original_url"":""https://acme.dev/gold/journey/22""}"
23,23,178,created,2025-04-04 11:09:06,"{""short_code"":""YeBV5x"",""original_url"":""https://example.com/dawn/window/23""}"
24,24,286,created,2025-07-05 11:22:42,"{""short_code"":""XX6jLz"",""original_url"":""https://hackstack.io/cobalt/trail/24""}"
25,25,229,created,2025-05-18 17:48:10,"{""short_code"":""FTP1Yw"",""original_url"":""https://relay.cloud/vivid/yard/25""}"
26,26,220,created,2025-04-24 23:28:04,"{""short_code"":""wg1KzI"",""original_url"":""https://relay.cloud/ivory/beacon/26""}"
27,27,308,created,2025-08-03 21:14:55,"{""short_code"":""MRSkpl"",""original_url"":""https://example.com/opal/engine/27""}"
28,28,46,created,2025-03-26 12:13:34,"{""short_code"":""NUs1fm"",""original_url"":""https://relay.cloud/lively/valley/28""}"
29,29,208,created,2025-11-23 14:52:15,"{""short_code"":""GR5bBd"",""original_url"":""https://relay.cloud/forest/harvest/29""}"
30,30,243,created,2025-09-18 09:45:50,"{""short_code"":""c5YILq"",""original_url"":""https://relay.cloud/dawn/trail/30""}"
31,31,330,created,2025-05-15 19:50:14,"{""short_code"":""oMEaiA"",""original_url"":""https://acme.dev/vivid/island/31""}"
32,32,372,created,2025-11-22 08:48:32,"{""short_code"":""e3Hu4R"",""original_url"":""https://seeded.app/mellow/river/32""}"
